loan_amnt,term,installment,emp_length,home_ownership,verification_status,issue_d,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,log_annual_inc,fico_score,log_revol_bal,charged_off
6400,36,197.59,5,RENT,Verified,14-Dec,car,3.35,1996,4,1,36.5,31,Individual,5,1,5.176094154,662,3.47070443,0
25000,36,884.99,7,RENT,Source Verified,14-Dec,car,18.36,2011,9,0,5.6,10,Individual,0,0,5.041396633,767,2.981365509,0
7000,36,235.83,0,RENT,Not Verified,14-Dec,car,5.91,2008,6,0,91.5,16,Individual,0,0,4.602070849,662,3.920332072,1
3975,36,146.2,4,RENT,Not Verified,14-Dec,car,20.6,2008,9,0,53.1,16,Individual,0,0,4.380229337,672,3.465382851,0
18000,60,534.36,4,MORTGAGE,Source Verified,14-Dec,car,23.69,2003,10,0,71.6,20,Individual,0,0,4.710269722,707,3.553761698,0
2000,36,65.9,9,MORTGAGE,Not Verified,14-Dec,car,30.85,1997,12,0,10.4,35,Individual,1,0,4.361746718,717,3.245759356,0
10800,60,265.46,10,MORTGAGE,Source Verified,14-Dec,car,14.54,1997,9,0,47,19,Individual,2,0,4.778158489,677,4.002597981,0
20000,36,686.57,3,RENT,Verified,14-Dec,car,12.62,1993,9,0,96.4,41,Individual,0,0,4.827246464,662,3.948021533,0
25000,36,760.89,8,MORTGAGE,Verified,14-Dec,car,1.82,1995,16,0,10.9,40,Individual,4,0,5.000004343,797,4.049179245,0
3000,36,99.63,1,RENT,Not Verified,14-Nov,car,8.11,2005,11,0,47.7,16,Individual,0,0,4.755882475,697,4.043912167,0
5000,36,166.05,10,MORTGAGE,Source Verified,14-Nov,car,25.45,1995,10,1,13.8,28,Individual,3,1,4.380229337,667,3.189490314,0
5000,36,154.37,5,MORTGAGE,Not Verified,14-Dec,car,8.27,2005,17,0,18.1,36,Individual,1,0,4.477135731,722,3.925672994,0
3000,36,100.21,10,MORTGAGE,Source Verified,14-Dec,car,10.53,1990,14,0,50.2,31,Individual,3,0,4.866293248,717,4.391235126,0
9600,36,335.57,10,MORTGAGE,Not Verified,14-Nov,car,27.99,1996,13,0,71.8,26,Individual,3,0,4.716011695,677,4.236134017,0
8000,36,277.29,10,RENT,Not Verified,14-Nov,car,12.97,1996,8,0,13.3,17,Individual,0,0,4.684144901,732,3.525821952,0
3575,36,141.2,1,RENT,Not Verified,14-Dec,car,21.99,2010,5,0,98.1,5,Individual,0,0,4.447173542,672,3.571592383,0
15000,36,471.37,8,RENT,Not Verified,14-Nov,car,10.25,1990,15,0,48.8,20,Individual,0,0,4.863328809,692,4.355183236,0
6500,36,197.84,10,OWN,Not Verified,14-Nov,car,3.96,1995,10,0,8.5,27,Individual,3,0,4.982275757,807,3.654561555,0
28000,36,952.36,4,MORTGAGE,Source Verified,14-Dec,car,15.9,2002,7,0,63.3,31,Individual,0,0,5.397941746,662,4.278799314,0
10000,60,227.48,8,MORTGAGE,Not Verified,14-Nov,car,26.24,2004,18,1,12,38,Individual,2,0,4.69897869,697,3.214578954,0
8500,36,297.12,10,OWN,Verified,14-Dec,car,22.12,2002,5,0,92.3,12,Individual,3,0,4.544080453,677,4.761175813,0
1400,36,43.23,1,MORTGAGE,Not Verified,14-Nov,car,2.65,2008,6,0,1.5,15,Individual,1,0,4.53149169,772,2.584331224,0
6300,36,199.38,10,RENT,Source Verified,14-Nov,car,10.7,2000,10,0,5.1,31,Individual,0,0,4.778158489,667,2.924279286,0
6000,36,204.08,,RENT,Verified,14-Nov,car,28.85,1994,9,0,78,29,Individual,1,0,4.69897869,677,3.743352951,0
10000,60,203.68,10,MORTGAGE,Source Verified,14-Nov,car,15.56,1999,20,0,25.5,40,Individual,5,0,5.176094154,762,4.294135419,0
2000,36,65,,RENT,Verified,14-Nov,car,19.12,1998,19,1,2.5,30,Individual,0,1,4.417986231,722,2.838219222,1
11200,60,262.41,3,RENT,Source Verified,14-Dec,car,19.75,1994,8,1,4.1,20,Individual,0,1,4.740370586,677,3.206286044,1
7000,36,217.72,10,RENT,Not Verified,14-Nov,car,1.11,1994,2,0,3.1,10,Individual,0,0,4.447173542,787,2.85308953,0
2500,36,87.39,6,MORTGAGE,Not Verified,14-Nov,car,5.4,1994,10,0,49.4,24,Individual,4,0,4.556314564,687,3.393048466,0
8925,36,315.94,0,MORTGAGE,Source Verified,14-Nov,car,11.01,2008,4,0,74,7,Individual,0,0,4.462412973,697,3.249442961,0
6000,36,182.62,0,MORTGAGE,Not Verified,14-Nov,car,9.74,2005,6,0,2.1,8,Individual,1,0,4.681250285,797,2.499687083,0
14500,36,444.35,0,RENT,Not Verified,14-Nov,car,5.32,2004,12,0,7.8,32,Individual,7,0,4.544080453,762,3.368472838,0
4000,36,134.76,2,MORTGAGE,Not Verified,14-Nov,car,12.99,1990,24,0,31,37,Individual,1,0,4.69897869,732,4.312896352,0
3000,36,103.99,3,MORTGAGE,Not Verified,14-Nov,car,20.55,2003,8,0,49.2,22,Individual,2,0,4.69897869,662,4.126196368,0
8000,36,269.52,6,RENT,Source Verified,14-Dec,car,22.31,2009,4,0,63.6,5,Individual,0,0,4.462412973,702,3.890197386,0
5000,36,168.45,1,RENT,Source Verified,14-Nov,car,12.75,2001,4,0,64.8,10,Individual,0,0,4.30105171,677,3.746166964,0
10800,60,260.29,8,MORTGAGE,Source Verified,14-Nov,car,29.62,2003,9,0,64.3,31,Individual,0,0,4.69897869,682,4.136530324,0
3000,36,94.28,10,MORTGAGE,Not Verified,14-Nov,car,18.53,1997,8,0,44.6,32,Individual,6,0,4.832515299,727,4.194569839,0
5950,36,216.73,6,RENT,Source Verified,14-Nov,car,21.78,2007,7,0,53.4,15,Individual,1,0,4.544080453,707,3.897572114,0
6375,36,250.08,2,RENT,Source Verified,14-Nov,car,27.31,2010,12,0,24.9,15,Individual,0,0,4.322239975,662,3.325310372,1
12000,36,384.34,0,RENT,Source Verified,14-Dec,car,1.34,1997,7,1,16.4,31,Individual,2,1,5.025309962,672,3.420120848,0
10300,36,347,7,MORTGAGE,Source Verified,14-Nov,car,16.28,1996,6,1,18.2,24,Individual,4,1,4.954247335,662,3.106190897,0
7800,36,262.78,9,RENT,Not Verified,14-Nov,car,13.38,1994,7,0,91.7,15,Individual,0,0,4.903095416,672,4.102433706,0
10000,36,332.1,8,MORTGAGE,Source Verified,14-Nov,car,10.11,1998,11,0,16.9,32,Individual,1,0,4.977728177,702,3.770631128,0
7500,36,235.69,5,MORTGAGE,Not Verified,14-Nov,car,19.08,1994,15,0,53.6,39,Individual,4,0,5.123854906,697,4.112638511,0
12000,60,303.81,6,RENT,Source Verified,14-Nov,car,33.34,2005,7,0,95.4,18,Individual,1,0,4.857338528,677,3.979411783,0
5000,36,153.23,10,MORTGAGE,Not Verified,14-Nov,car,15.9,2003,6,0,0,18,Individual,1,0,4.778158489,797,0,0
8000,36,265.68,4,MORTGAGE,Source Verified,14-Nov,car,3.43,2010,6,0,41.7,7,Individual,1,0,4.69897869,707,3.787460475,0
10300,36,371.65,0,OWN,Source Verified,14-Nov,car,16.63,2010,9,0,33.7,9,Individual,0,0,4.623259631,687,3.845903839,0
7750,36,279.64,6,RENT,Source Verified,14-Dec,car,6.89,2002,8,0,49.3,14,Individual,0,0,4.447173542,682,3.38327665,1
1500,36,47.47,7,MORTGAGE,Not Verified,14-Nov,car,20.83,2001,3,0,86.2,8,Individual,1,0,4.447173542,667,3.049992857,0
4200,36,154.47,1,RENT,Not Verified,14-Nov,car,25.64,2008,9,1,52.7,13,Individual,0,1,4.477135731,662,3.646599752,0
11000,36,345.67,3,RENT,Source Verified,14-Nov,car,12.53,2008,4,0,88.3,5,Individual,0,0,4.785336955,702,3.826981337,0
10000,36,343.29,6,RENT,Not Verified,14-Nov,car,13.4,2004,6,0,58,7,Individual,0,0,4.477135731,677,3.933993164,0
15000,60,314.96,0,MORTGAGE,Source Verified,14-Nov,car,25.16,1993,16,0,36.3,33,Individual,2,0,4.792398694,727,4.572337114,0
4800,36,159.41,10,MORTGAGE,Not Verified,14-Nov,car,13.58,2005,7,1,88.5,12,Individual,0,0,4.903095416,662,4.250249179,0
5325,36,186.14,3,RENT,Source Verified,14-Nov,car,17.11,2005,10,0,39.4,22,Individual,0,0,4.431379849,672,3.628899564,0
7350,36,267.72,3,RENT,Not Verified,14-Nov,car,18.24,2001,8,0,55.7,11,Individual,0,0,4.477135731,662,3.679700381,0
3000,36,120.61,,RENT,Verified,14-Nov,car,25.95,1992,11,0,54.9,16,Individual,0,0,4.380229337,672,3.614580867,1
16000,36,559.28,10,RENT,Verified,14-Nov,car,30.67,2000,15,0,89.3,25,Individual,0,0,4.903095416,677,4.762918522,0
16000,36,506.35,10,MORTGAGE,Source Verified,14-Nov,car,19.35,2003,25,0,14.9,43,Individual,6,0,4.778158489,722,4.14500984,1
9000,36,300.61,2,RENT,Source Verified,14-Nov,car,9.75,2001,9,1,78.6,20,Individual,1,1,4.845104244,662,3.904228516,0
4000,36,130,1,RENT,Not Verified,14-Nov,car,20.59,2000,7,0,73.6,13,Individual,0,0,4.579795025,737,4.065505023,0
7725,36,258.03,10,RENT,Source Verified,14-Nov,car,11.68,1991,5,1,34.9,27,Individual,9,1,4.656107789,667,3.034227261,0
18000,36,593.06,5,RENT,Source Verified,14-Nov,car,4.03,2010,3,0,1.3,5,Individual,0,0,5.301032167,742,1.505149978,0
4000,36,134.76,7,RENT,Not Verified,14-Nov,car,31.13,2004,6,1,58.9,18,Individual,0,0,4.50516355,662,3.51054501,0
2500,36,86.66,4,MORTGAGE,Not Verified,14-Nov,car,18.31,1990,8,0,20.8,9,Individual,1,0,4.653222165,767,4.017283822,1
5000,36,155.51,,MORTGAGE,Source Verified,14-Nov,car,9.1,1995,10,0,12.8,24,Individual,4,0,4.380229337,712,3.889021422,0
1950,36,68.55,10,RENT,Not Verified,14-Nov,car,15.42,2000,7,0,62.7,11,Individual,0,0,4.183521519,702,3.876506504,0
6000,36,186.61,0,RENT,Source Verified,14-Nov,car,13.83,2008,7,0,45.5,15,Individual,0,0,4.681250285,727,3.612147838,0
3000,36,100.21,10,MORTGAGE,Verified,14-Nov,car,22.11,1999,6,1,28.9,8,Individual,0,1,4.5185271,697,3.751279104,0
10000,60,249.28,,OWN,Verified,14-Dec,car,15.54,1987,11,0,35.1,26,Individual,0,0,4.583210113,707,4.00505175,1
18400,36,578.21,10,MORTGAGE,Source Verified,14-Nov,car,2.26,2001,10,0,22.1,19,Individual,2,0,4.977728177,702,3.730701544,0
6000,36,186.61,4,MORTGAGE,Not Verified,14-Nov,car,9.01,2000,13,3,76.3,25,Individual,2,0,5.380213051,672,4.519210884,0
8000,36,263.58,0,RENT,Source Verified,14-Nov,car,18.96,2006,13,0,9.2,19,Individual,0,0,4.602070849,722,3.241795431,0
10200,36,338.74,,MORTGAGE,Verified,14-Nov,car,19.63,1999,13,0,12.4,36,Individual,3,0,4.875067054,687,3.164055292,0
4000,36,133.61,4,OWN,Not Verified,14-Nov,car,23.49,2007,5,0,28,9,Individual,0,0,4.255296632,692,3.210586025,0
8000,36,251.4,0,MORTGAGE,Not Verified,14-Nov,car,9.74,2002,3,0,91.9,14,Individual,3,0,4.733044713,667,3.616475514,0
11475,36,417.97,7,OWN,Verified,14-Dec,car,30.28,2003,7,0,48.3,9,Individual,0,0,4.39795738,682,3.860338007,1
6500,36,199.19,0,MORTGAGE,Source Verified,14-Nov,car,6.55,2000,9,0,20.5,22,Individual,6,0,4.740370586,712,3.872564143,0
6000,36,205.98,1,RENT,Source Verified,14-Nov,car,10.33,1996,7,1,15.1,28,Individual,4,1,4.732401802,667,3.465531557,0
5975,36,222.03,,RENT,Verified,14-Nov,car,11.74,1998,8,0,71.2,12,Individual,0,0,4.361746718,692,4.072580733,0
9600,36,298.58,,RENT,Verified,14-Nov,car,33.95,1980,19,0,26.1,32,Individual,0,0,4.431379849,732,4.094401245,0
6375,36,225.68,1,RENT,Source Verified,14-Nov,car,16.7,2009,8,0,61.4,19,Individual,0,0,4.556314564,682,3.451172158,0
4800,36,164.78,8,RENT,Not Verified,14-Nov,car,29.12,2008,5,0,78.7,21,Individual,0,0,4.681250285,687,4.205907763,0
1500,36,51.02,10,RENT,Not Verified,14-Nov,car,9.66,2008,10,0,17.5,11,Individual,0,0,4.602070849,742,3.624178926,0
12000,36,384.34,2,RENT,Not Verified,14-Nov,car,7.99,2000,16,0,11.1,26,Individual,0,0,4.544080453,692,3.747178671,0
10000,36,332.1,1,OWN,Not Verified,14-Nov,car,5.15,2001,7,0,52.2,9,Individual,0,0,4.676702753,687,3.8143142,0
6600,36,217.46,10,RENT,Not Verified,14-Nov,car,11.92,2005,7,0,33.1,10,Individual,0,0,4.724284064,692,3.884851983,0
5000,36,162.49,4,RENT,Not Verified,14-Nov,car,13.85,2007,6,0,59.9,13,Individual,0,0,4.69897869,667,3.712060142,0
12000,36,370.48,0,MORTGAGE,Not Verified,14-Nov,car,7.39,1981,10,1,2.6,23,Individual,3,1,5.033427777,762,2.745074792,0
18000,60,395.33,10,MORTGAGE,Source Verified,14-Nov,car,12.54,1997,11,0,42.1,24,Individual,7,0,4.982275757,692,4.159386701,0
1000,36,34.33,,RENT,Source Verified,14-Dec,car,15.65,2011,2,0,92.4,5,Individual,0,0,3.949048292,662,3.619093331,0
8000,36,269.52,10,RENT,Verified,14-Nov,car,12.25,1999,13,0,31.8,30,Individual,0,0,4.681250285,692,3.774443969,0
4250,36,133.56,3,RENT,Not Verified,14-Nov,car,16.97,2006,7,0,23.8,13,Individual,0,0,4.6354938,777,3.742882171,0
22000,36,696.23,10,RENT,Verified,14-Nov,car,1.87,2006,5,0,17.4,8,Individual,0,0,4.732401802,762,3.464191371,0
16000,60,374.87,5,RENT,Verified,14-Nov,car,7.43,1989,4,2,36.8,25,Individual,1,0,4.857338528,667,3.645127399,1
5000,36,167.01,10,OWN,Not Verified,14-Nov,car,26.86,1976,7,0,76.9,16,Individual,0,0,4.50516355,662,3.805024844,0
13000,36,404.33,2,RENT,Not Verified,14-Nov,car,14.84,2000,5,0,64.3,14,Individual,0,0,4.863328809,677,4.045987606,0
24475,60,730.34,0,RENT,Source Verified,14-Nov,car,15.12,2002,16,1,72.5,24,Individual,0,0,4.832515299,662,4.170144323,0
10000,60,237.85,0,MORTGAGE,Not Verified,14-Nov,car,24.35,1998,6,0,22.1,20,Individual,2,0,4.685750693,682,3.157456768,0
1450,36,47.78,0,MORTGAGE,Not Verified,14-Nov,car,25.32,2005,9,0,33.9,12,Individual,1,0,4.50516355,692,3.807264355,0
6000,36,205.98,10,RENT,Not Verified,14-Nov,car,4.14,1999,6,0,75,22,Individual,3,0,4.614907757,662,3.688152756,0
1500,36,52.73,1,RENT,Not Verified,14-Nov,car,19.71,1998,11,0,81.7,18,Individual,0,0,4.414990051,687,3.535420718,0
5000,36,162.49,10,RENT,Not Verified,14-Nov,car,35.02,1990,16,0,73.8,42,Individual,2,0,4.903095416,692,4.870830966,0
12000,60,285.42,7,RENT,Source Verified,14-Nov,car,31.77,2007,22,0,35.8,27,Individual,0,0,4.556314564,672,4.009110806,1
20000,36,686.57,0,OWN,Source Verified,14-Nov,car,14.57,2003,6,0,59.1,11,Individual,0,0,4.812920038,667,3.604442066,0
5000,36,170.07,0,OWN,Source Verified,14-Nov,car,10.61,1987,8,1,55.7,37,Individual,3,1,4.707578692,662,3.737113094,0
5600,36,192.24,2,RENT,Source Verified,14-Nov,car,31.76,2007,8,0,88.9,9,Individual,0,0,4.598899887,692,4.079181246,0
13250,60,325.68,4,MORTGAGE,Not Verified,14-Nov,car,0.06,2010,5,1,0,10,Individual,1,1,4.573126994,712,0.477121255,0
1200,36,40.82,6,RENT,Not Verified,14-Nov,car,6.24,2011,4,0,57.4,5,Individual,0,0,4.30105171,672,3.56549363,0
2575,36,87.59,8,RENT,Not Verified,14-Nov,car,5.34,1993,5,1,12,31,Individual,9,1,4.812920038,667,2.731588765,0
10000,36,336.9,10,RENT,Source Verified,14-Nov,car,17.23,2000,12,0,86.3,23,Individual,2,0,4.653222165,672,4.000347297,0
3750,36,135.31,5,RENT,Not Verified,14-Nov,car,12.54,2007,5,0,99.1,7,Individual,0,0,4.707578692,692,3.575764981,0
7000,36,224.2,4,MORTGAGE,Not Verified,14-Nov,car,13.35,2009,9,0,36.2,13,Individual,1,0,4.380229337,667,3.662190991,0
18000,60,421.73,5,MORTGAGE,Verified,14-Nov,car,21.54,2003,29,0,51.8,39,Individual,0,0,4.740370586,667,4.010978012,0
6000,36,192.17,5,RENT,Not Verified,14-Nov,car,2.07,1995,5,0,55.3,13,Individual,0,0,4.556314564,697,3.396199347,0
18000,60,428.13,10,RENT,Source Verified,14-Nov,car,26.06,2004,9,1,36.4,36,Individual,4,1,4.903095416,667,3.51054501,0
2000,36,68.66,3,RENT,Not Verified,14-Nov,car,14.47,2010,5,0,27.9,6,Individual,0,0,4.53149169,707,3.510679031,0
14000,36,467.62,10,MORTGAGE,Not Verified,14-Nov,car,16.15,2006,9,0,73,10,Individual,0,0,4.69897869,692,4.047819828,0
14900,60,382.76,10,MORTGAGE,Source Verified,14-Nov,car,35.76,2001,9,0,86,24,Individual,5,0,4.838855385,702,4.760776711,0
6700,36,225.72,10,RENT,Source Verified,14-Nov,car,0.81,1995,5,0,3.1,14,Individual,0,0,4.662767273,712,2.294466226,0
2500,36,84.23,1,RENT,Not Verified,14-Nov,car,14.87,2004,9,0,84.5,11,Individual,0,0,4.954247335,662,3.518250651,0
7000,36,250.06,,RENT,Not Verified,14-Nov,car,35.6,1987,14,0,85,17,Individual,0,0,4.556314564,687,4.169762577,0
4800,36,161.71,10,MORTGAGE,Not Verified,14-Nov,car,21,2002,21,0,83.8,58,Individual,7,0,5.060701617,672,4.612370551,0
3000,36,102.99,4,RENT,Source Verified,14-Nov,car,10.72,2005,22,2,32.3,35,Individual,0,0,4.812920038,667,3.646403726,0
6500,36,227.21,5,MORTGAGE,Source Verified,14-Nov,car,2.77,1996,7,4,26,20,Individual,1,0,4.903095416,672,3.068927612,0
10000,36,320.29,1,MORTGAGE,Source Verified,14-Nov,car,4.15,1996,4,1,61.1,8,Individual,2,0,4.44841257,687,3.886321487,0
35000,36,1169.04,4,RENT,Verified,14-Nov,car,9.28,1993,9,0,0.6,28,Individual,0,0,5.439334273,722,2.507855872,0
5000,36,162.49,7,MORTGAGE,Source Verified,14-Nov,car,10.54,1994,11,0,28.4,24,Individual,3,0,4.886496365,717,3.521007252,0
5000,36,168.45,10,RENT,Verified,14-Nov,car,27.21,1995,20,0,85.8,28,Individual,0,0,4.80618676,687,4.573869101,0
7800,36,274.19,5,MORTGAGE,Source Verified,14-Nov,car,16.06,2001,25,0,55.3,59,Individual,6,0,4.915510637,692,3.442166086,0
7000,36,260.11,0,RENT,Source Verified,14-Nov,car,13.59,2010,7,0,57.2,10,Individual,0,0,4.662767273,707,3.682054777,0
24000,36,759.52,10,MORTGAGE,Source Verified,14-Nov,car,17.55,1993,17,0,29.4,32,Individual,3,0,5.113946693,747,4.601418934,0
